z_m,sigma_Ohm_cm_inv,N_cm3
1.8691588785046903e-11,74.5109315015282,2.53164556962026e+18
3.5285524319667544e-11,170.19591875600298,9.545888584636027e+18
5.1879459854288185e-11,241.06100502417996,1.6478464324631634e+19
6.847339538890883e-11,311.7322917083315,2.3305289701417763e+19
8.506733092352947e-11,378.53200484620925,3.0002281626805084e+19
1.0166126645815011e-10,440.41906579910534,3.6545357012604273e+19
1.1825520199277075e-10,497.21085454645026,4.291043277062601e+19
1.348491375273914e-10,549.9553367341213,4.907342581268098e+19
1.5144307306201203e-10,599.6650365257073,5.501025305057984e+19
1.6803700859663266e-10,647.0641432334725,6.0696831396133265e+19
1.846309441312533e-10,692.1188950872836,6.610907776115196e+19
2.0122487966587397e-10,734.5259907804976,7.12229090574466e+19
2.178188152004946e-10,774.0205067943335,7.601424219682785e+19
2.344127507351152e-10,810.3758711655948,8.045899409110637e+19
2.5100668626973585e-10,843.4009572634992,8.453308165209285e+19
2.6760062180435653e-10,872.9338785046149,8.821242179159799e+19
2.8419455733897716e-10,898.8296371035264,9.147293142143241e+19
3.007884928735978e-10,920.9671276807136,9.429052745340686e+19
3.173824284082184e-10,939.2451494868523,9.664112679933197e+19
3.339763639428391e-10,953.5713388654359,9.85006463710184e+19
3.505702994774597e-10,963.9040889106922,9.98520115497542e+19
3.6716423501208035e-10,970.5214344529846,1.007222313438337e+20
3.8375817054670103e-10,973.8044978875452,1.011554128922849e+20
4.0035210608132166e-10,974.1094644384123,1.0119570093786728e+20
4.169460416159423e-10,971.772895995105,1.0088724022334025e+20
4.335399771505629e-10,967.1179526676333,1.0027417549146336e+20
4.5013391268518354e-10,960.460483513595,9.940065148499601e+19
4.667278482198042e-10,952.1144560679891,9.831081294669768e+19
4.833217837544248e-10,942.3963862100815,9.70488046193278e+19
4.999157192890455e-10,931.6285939937259,9.565877124564587e+19
5.165096548236661e-10,920.1412473479513,9.418485756841132e+19
5.331035903582867e-10,908.2732640234026,9.267120833038365e+19
5.496975258929075e-10,896.3722228173158,9.116196827432226e+19
5.66291461427528e-10,884.79348795521,8.970128214298668e+19
5.828853969621486e-10,873.8983487334733,8.833324120287004e+19
5.994793324967694e-10,863.9701446597013,8.709163442301287e+19
6.1607326803139e-10,855.1131245520581,8.598775344881964e+19
6.326672035660106e-10,847.4062147989131,8.502992018216816e+19
6.492611391006313e-10,840.9265763659845,8.422645652493615e+19
6.658550746352519e-10,835.7496087950111,8.35856843790014e+19
6.824490101698725e-10,831.9491474616154,8.31159256462417e+19
6.990429457044933e-10,829.5974099179125,8.282550222853479e+19
7.156368812391138e-10,828.7648610636802,8.272273602775841e+19
7.322308167737344e-10,829.5200235749406,8.281594894579037e+19
7.488247523083552e-10,831.9292117984768,8.311346288450845e+19
7.654186878429758e-10,836.0561644947522,8.362359974579036e+19
7.820126233775964e-10,841.9615488603121,8.43546814315139e+19
