z_nm,epsilon
0.000000000000000000e+00,nan
5.025125628140703402e-11,1.426324715845262148e+01
1.005025125628140680e-10,1.745791907693969591e+01
1.507537688442211021e-10,2.010185942000727621e+01
2.010050251256281361e-10,2.260557326942396728e+01
2.512562814070351442e-10,2.454425630861513952e+01
3.015075376884422041e-10,2.584500653981624652e+01
3.517587939698492640e-10,2.654639509165986055e+01
4.020100502512562722e-10,2.670314932735677260e+01
4.522613065326632803e-10,2.646369671994601802e+01
5.025125628140702885e-10,2.597699995206941281e+01
5.527638190954774001e-10,2.538900059233465356e+01
6.030150753768844082e-10,2.485134229037866760e+01
6.532663316582914164e-10,2.447052513177626665e+01
7.035175879396985280e-10,2.429311681404724865e+01
7.537688442211055361e-10,2.435773541224015659e+01
8.040201005025125443e-10,2.469324419830823913e+01
8.542713567839195525e-10,2.531444181352554779e+01
9.045226130653265606e-10,2.622661568551571420e+01
9.547738693467335688e-10,2.744109174775399751e+01
1.005025125628140577e-09,2.899419522051284304e+01
1.055276381909547792e-09,3.092697332133264609e+01
1.105527638190954800e-09,3.326897429741408274e+01
1.155778894472361808e-09,3.585193970816729347e+01
1.206030150753768816e-09,3.845331967767629777e+01
1.256281407035175825e-09,4.113349687781813913e+01
1.306532663316582833e-09,4.383657727038612961e+01
1.356783919597989841e-09,4.637820231659262760e+01
1.407035175879397056e-09,4.886032529466348251e+01
1.457286432160804064e-09,5.141379565587170930e+01
1.507537688442211072e-09,5.401679563697684472e+01
1.557788944723618080e-09,5.635461187915417725e+01
1.608040201005025089e-09,5.827673237170097309e+01
1.658291457286432097e-09,6.011419989672236852e+01
1.708542713567839105e-09,6.224195165892285075e+01
1.758793969849246113e-09,6.466046693899914999e+01
1.809045226130653121e-09,6.679005906822442284e+01
1.859296482412060336e-09,6.820334068192087784e+01
1.909547738693467138e-09,6.912025503110898228e+01
1.959798994974874353e-09,6.991840239256693224e+01
2.010050251256281154e-09,7.080760515352986317e+01
2.060301507537688369e-09,7.175774464505990125e+01
2.110552763819095584e-09,7.271961986717791149e+01
2.160804020100502385e-09,7.364277994271584760e+01
2.211055276381909600e-09,7.446897192131810073e+01
2.261306532663316402e-09,7.513929902728250454e+01
2.311557788944723617e-09,7.560232945582126263e+01
2.361809045226130418e-09,7.584185618786067096e+01
2.412060301507537633e-09,7.589987139845071340e+01
2.462311557788944848e-09,7.581985886653126272e+01
2.512562814070351649e-09,7.564242269286391718e+01
2.562814070351758864e-09,7.540649882346265542e+01
2.613065326633165666e-09,7.510399097079529440e+01
2.663316582914572881e-09,7.466461979940123683e+01
2.713567839195979682e-09,7.400870986699032983e+01
2.763819095477386897e-09,7.311051475823353485e+01
2.814070351758794112e-09,7.215021432595702322e+01
2.864321608040200913e-09,7.136025367371820494e+01
2.914572864321608128e-09,7.078800939698963646e+01
2.964824120603014930e-09,7.026434015288172930e+01
3.015075376884422145e-09,6.960683566398779476e+01
3.065326633165828946e-09,6.875093139219211480e+01
3.115577889447236161e-09,6.776055947792632139e+01
3.165829145728642962e-09,6.670940340202393770e+01
3.216080402010050177e-09,6.566905319761279713e+01
3.266331658291457392e-09,6.465241850973268356e+01
3.316582914572864194e-09,6.364134655606409297e+01
3.366834170854271409e-09,6.261917364527386098e+01
3.417085427135678210e-09,6.157020350914733342e+01
3.467336683417085425e-09,6.048982582158334509e+01
3.517587939698492226e-09,5.939266347487980369e+01
3.567839195979899441e-09,5.827595697421283205e+01
3.618090452261306243e-09,5.711481310840506609e+01
