curve(b),
X,Y
105813207015141020,11.77215189873418
254043434487064800,11.77215189873418
568330844817205200,11.89873417721519
1861824111432385800,12.0253164556962
4224417870708692500,12.405063291139228
8931414506078498000,13.164556962025316
15277386987087569000,14.177215189873422
24008669773208293000,15.569620253164558
36164478644543975000,17.468354430379748
51482122270641080000,19.620253164556956
67331898317794680000,22.0253164556962
85608194433845120000,24.68354430379747
107318562458339590000,27.468354430379755
136448675751449900000,31.139240506329116
166287228766141900000,34.936708860759495
208457922333053200000,39.62025316455697
250479972042614900000,43.9240506329114
292588780430568160000,47.72151898734178
336982510910760600000,51.64556962025317
382667946540990330000,55.69620253164558
440729153321206550000,59.873417721519004
507599835165235900000,64.30379746835445
636327923679309000000,72.02531645569621
702466740870320200000,75.56962025316457
775479911640117000000,78.86075949367091
