Default Dataset,
X,Y
0.00008020828909977843,8.038215303401672e+21
0.00014616313352590202,4.2142982738144694e+21
0.00023273122353142605,2.423196179377646e+21
0.0003438357634283783,1.3934971396144426e+21
0.00045075947213979407,666668740459312700000
0.0004646853593858397,497990894151991900000
0.0005321471957101447,309354625276540000000
0.0006184901220032905,213967483405408100000
0.0007406068463568987,159790401183542100000
0.0009703584987226816,108814919801300100000
0.001179393502347495,85090400696127620000
0.001640745542931624,56187744375585130000
0.002352205501796015,34891063556091950000
0.0038023347833024287,18579466933057950000
0.004907721628528689,12848384756338518000
0.006430841016690587,8228478784064695000
0.008814555030987235,5032201227569757000
0.011041064746812048,3533960153602308000
0.0132213788985299,2598949686965544000
0.016813014903880902,1690274568967563800
0.021381399332948667,1066063988346007000
